Quadro de Acompanhamento Compartilhado — Projeto Integrador (5º Semestre),,,,,,,,
,,,,,,,,
Squad,Disciplina,Entrega,Unidade,Semana prevista,Status,Dependência,Riscos,Observações
,MOB,Backlog do app,U1,Semana 2–3,Em andamento,—,,Falta criar board
,SEG,Requisitos de segurança,U1,Semana 2–3,Em andamento,Backlog do app (MOB),,Só vi um requisito em alto nível
,NEG,Canvas preliminar,U1,Semana 3–4,Não iniciado,Visão do produto (MOB),,
,MOB,"Repositório, app inicial e backend mínimo",U1,Semana 3–4,Concluído,Backlog do app (MOB); Requisitos de segurança (SEG),,
,DADOS,ETL inicial,U1,Semana 3–4,Em andamento,"Repositório, app inicial e backend mínimo (MOB)",,
,TEST,Plano de Testes e backlog de automação,U1,Semana 3–4,Em andamento,Backlog do app (MOB); Requisitos de segurança (SEG),,
,MOB,App com registro,U1,Semana 5–7,,"Repositório, app inicial e backend mínimo (MOB)",,
,SEG,Controles de segurança,U1,Semana 5–7,,Requisitos de segurança (SEG),,
,NEG,"Framework de persona, Mapas de stakeholders e jornada",U1,Semana 5–7,,Canvas preliminar (NEG),,
,"DADOS, TEST",ETL (DADOS) e testes automatizados de unidade e API (TEST),U1,Semana 5–7,,ETL inicial (DADOS); Plano de Testes e backlog de automação (TEST),,
,MOB,Entrega U1,U1,Semana 8–9,,App com registro (MOB),,
,SEG,Entrega U1,U1,Semana 8–9,,Controles de segurança (SEG),,
,NEG,"Entrega U1
Canvas de Modelo de Negócio final (NEG)",U1,Semana 8–9,,"Framework de persona, Mapas de stakeholders e jornada (NEG)",,
,DADOS,Entrega U1,U1,Semana 8–9,,ETL (DADOS) e testes automatizados de unidade e API (TEST),,
,TEST,Entrega U1,U1,Semana 8–9,,ETL (DADOS) e testes automatizados de unidade e API (TEST),,
,MOB,Integração das camadas,U2,Semana 10–11,,Entrega U1 (MOB),,
,DADOS,Analytics,U2,Semana 10–11,,Entrega U1 (DADOS),,
,SEG,Controles (em implementação),U2,Semana 10–11,,Entrega U1 (SEG),,
,SEG,Controles implementados,U2,Semana 12–13,,Controles (em implementação) (SEG),,
,TEST,"Pipeline de testes, Continuous Testing e suíte E2E",U2,Semana 10–13,,Entrega U1 (TEST); Integração das camadas (MOB),,
,NEG,Documento com descrição dos KPIs.,U2,Semana 12–13,,Analytics (DADOS); Entrega U1 (NEG),,
,MOB,Versão final,U2,Semana 14–15,,Integração das camadas (MOB); Controles implementados (SEG); KPIs com dados (NEG),,
,"SEG, NEG, DADOS, TEST","Documentação, métricas e fechamento",U2,Semana 14–15,,"Controles implementados (SEG); Plano de sustentabilidade (NEG); Analytics (DADOS); Pipeline de testes, Continuous Testing e suíte E2E (TEST)",,
,Todas,Entrega final integrada,U2,Semana 16–17,,"Versão final (MOB); Documentação e fechamento (SEG, NEG, DADOS, TEST)",,
